time, omega x, omega y, omega z, voltage
2444,102,210,149,5374
5224,100,225,148,5261
7908,100,225,148,5294
10580,50,168,174,5308
13260,50,168,174,5311
15940,-134,-67,802,5292
18644,-134,-67,802,5303
21348,34,701,5546,5306
24068,34,701,5546,5321
26788,136,1374,11592,5308
29616,136,1374,11592,5320
32452,-43,410,14049,5326
35224,-43,410,14049,5330
38004,-181,-357,15198,5350
40836,-181,-357,15198,5330
43664,-116,-240,16264,5347
46488,-116,-240,16264,5339
49308,100,385,17349,5341
52104,100,385,18475,5332
54896,40,766,18475,5349
57644,40,766,19256,5356
60400,9,133,19256,5356
63124,9,-123,19807,5344
65860,42,-57,19807,5355
68584,42,711,20550,5354
71340,376,553,20550,5333
74136,376,805,20964,5369
76936,-50,805,20964,5338
79696,-50,-206,21157,5344
82480,-22,-206,21157,5344
85268,-119,-319,21771,5364
88096,-119,-319,21771,5344
90928,13,553,22319,5353
93680,13,553,22319,5345
96444,13,634,22331,5356
99204,13,634,22331,5360
101964,83,133,22717,5359
104760,83,133,22717,5366
107552,-195,-73,23188,5345
110392,-195,-73,23188,5359
113216,15,307,22714,5363
116012,15,307,22714,5370
118816,168,1070,22628,5363
121692,168,1070,22628,5364
124564,-69,1252,23159,5355
127412,-69,1252,23159,5372
130264,29,450,23095,5366
133048,29,450,23095,5352
135840,267,-736,23350,5363
138688,267,-736,23350,5374
141536,34,-1473,23961,5363
144384,34,-1473,23705,5365
147232,-518,-497,23759,5359
150096,-518,1039,23629,5349
152984,419,1197,23629,5358
155856,-176,1366,24035,5364
158748,-176,1366,24035,5354
161636,-56,-299,24223,5356
164464,-56,-299,24223,5367
167284,-1,-379,24260,5367
170072,-1,-379,24260,5355
172856,193,813,23788,5364
175688,193,813,23788,5364
178528,-323,1152,23683,5343
181416,-323,1152,23683,5360
184304,302,20,24117,5332
187100,302,20,24117,5342
189896,338,-1377,24223,5355
192780,338,-1377,24223,5358
195680,-354,60,23634,5343
198492,-354,60,23634,5349
201304,94,1707,23516,5342
204136,94,1707,24028,5354
206968,-288,514,23859,5342
209824,-288,-510,24168,5359
212684,450,-476,24168,5359
215540,-105,259,24187,5336
218388,-105,259,24187,5349
221244,-203,666,23800,5358
224096,-203,666,23800,5353
226944,-220,697,23816,5348
229792,-220,697,23816,5354
232648,277,781,24523,5354
235480,277,781,24523,5345
238320,76,479,24466,5352
241116,76,479,24466,5356
243916,81,84,24772,5365
246656,81,84,24772,5345
249412,-505,-317,25188,5366
252280,-505,-317,25188,5333
255144,-164,584,24439,5355
257988,-164,584,24439,5342
260836,284,1619,24009,5352
263708,284,1619,24009,5360
266580,-19,828,24184,5348
269396,-19,828,24110,5356
272208,-235,57,24110,5356
275016,-235,-144,24248,5354
277880,-179,-144,24248,5343
280748,42,-469,24321,5350
283556,42,-469,24321,5356
286368,269,202,23852,5352
289200,269,202,23852,5350
292032,-78,1130,23719,5354
294880,-78,1130,23719,5347
297732,-497,509,24096,5348
300580,-497,509,24096,5343
303432,167,-458,24303,5343
306280,167,-458,24303,5333
309128,3,-58,24373,5355
311864,3,-58,24373,5355
314596,-36,844,23605,5353
317408,-36,844,23605,5358
320224,-80,921,22841,5341
323032,-80,921,22841,5349
325844,63,759,23019,5345
328636,63,759,23019,5347
331428,9,476,23125,5349
334196,9,476,23125,5352
336964,-61,-209,22920,5345
339792,-61,-209,22920,5350
342624,5,-496,23059,5345
345400,5,-496,22828,5347
348168,-113,-152,22828,5347
351032,-113,104,22250,5332
353880,-238,190,22250,5323
356728,-79,390,22571,5337
359540,-79,390,22571,5333
362352,179,104,22798,5338
365184,179,104,22798,5341
368016,157,679,21893,5341
370852,157,679,21893,5343
373676,-113,1688,21338,5344
376580,-113,1688,21338,5347
379468,-181,1125,21717,5350
382356,-181,1125,21717,5343
385248,-136,-4,21895,5342
388028,-136,-4,21895,5331
390824,35,35,21807,5347
393576,35,35,21807,5343
396340,-4,-194,22316,5342
399132,-4,-194,22316,5341
401924,-317,-461,22532,5333
404788,-317,-461,22532,5323
407656,-411,-70,22363,5348
410484,-411,-70,22363,5343
413312,158,374,22454,5349
416144,158,-138,22458,5334
418996,191,-64,22458,5347
421808,191,28,22237,5342
424612,188,28,22237,5338
427408,-230,1271,21849,5342
430292,-230,1271,21849,5343
433180,303,1678,21339,5338
436056,303,1678,21339,5353
438928,-188,1370,21343,5345
441816,-188,1370,21343,5343
444700,297,835,21956,5344
447548,297,835,21956,5347
450388,41,-250,22067,5337
453200,41,-250,22067,5355
456008,-146,-959,22077,5356
458876,-146,-959,22077,5331
461748,-518,-398,22066,5344
464624,-518,-398,22066,5338
467484,-30,124,21679,5349
470300,-30,124,21353,5354
473108,-138,138,21353,5328
475952,-138,110,21533,5345
478808,-1,110,21533,5361
481580,511,390,21684,5345
484424,460,390,21684,5347
487256,-205,1038,20866,5334
490140,-205,1038,20866,5337
493036,202,1349,20803,5336
495920,202,1349,20803,5349
498792,146,957,21315,5348
501636,146,957,21315,5333
504472,230,235,21154,5339
507308,230,235,21154,5339
510144,-80,-242,21225,5344
512964,-80,-242,21225,5350
515780,-263,-736,21776,5349
518648,-263,-736,21776,5343
521512,-317,-784,21626,5341
524376,-317,-784,21626,5343
527236,275,-39,20711,5342
530048,275,-39,20955,5343
532856,145,458,20955,5339
535688,145,291,21292,5352
538524,-319,291,21292,5332
541376,-99,453,21165,5343
544184,-99,453,21165,5343
546996,649,717,21243,5345
549836,649,717,21243,5330
552664,520,835,21068,5349
555500,520,835,21068,5341
558348,259,477,21006,5339
561200,259,477,21006,5349
564036,1,409,21312,5336
566792,1,409,21312,5348
569556,-239,40,21679,5348
572364,-239,40,21679,5345
575176,-337,-684,21853,5350
578040,-337,-684,21853,5328
580904,20,-579,22054,5330
583704,20,-579,22054,5334
586528,-385,120,21889,5338
589376,-385,120,21889,5350
592228,-415,104,21750,5348
595084,-415,104,22006,5350
597940,-686,755,21884,5347
600792,-686,1267,22099,5350
603688,577,1114,22099,5337
606560,1467,1148,21752,5342
609472,1467,1148,21752,5348
612384,899,1357,21739,5338
615264,899,1357,21739,5353
618136,-103,1418,22204,5348
621024,-103,1418,22204,5343
623912,-520,423,22354,5334
626768,-520,423,22354,5345
629616,-643,-782,22725,5344
632480,-643,-782,22725,5343
635348,-172,-1269,23502,5358
638252,-172,-1269,23502,5339
641156,-533,-677,23224,5363
644020,-533,-677,22712,5354
646888,-841,278,22726,5347
649736,-841,1057,22996,5350
652624,-451,1057,22996,5350
655512,351,1385,22956,5342
658392,351,1385,22956,5330
661264,904,1694,22615,5353
664136,904,1694,22615,5334
667008,957,1298,22866,5359
669888,957,1298,22866,5349
672764,416,737,22954,5353
675600,416,737,22954,5341
678436,-696,374,22782,5345
681288,-696,374,22782,5353
684136,-848,-750,23075,5345
686996,-848,-750,23075,5347
689860,-501,-1148,22793,5365
692772,-501,-1148,22793,5360
695676,-307,-566,22542,5355
698552,-307,458,22612,5349
701400,-537,390,22612,5350
704252,-25,460,22174,5347
707068,-147,460,22174,5345
709920,-1,740,22066,5356
712688,-1,740,22066,5332
715460,215,880,22276,5352
718296,215,880,22276,5348
721132,272,613,22119,5352
723972,272,613,22119,5347
726816,69,588,22155,5341
729612,69,588,22155,5334
732408,75,350,21951,5334
735204,75,350,21951,5349
737996,-265,-99,21327,5333
740844,-265,-99,21327,5349
743680,-490,-493,21495,5344
746556,-490,-493,21495,5341
749420,-689,-616,21796,5345
752288,-689,-616,21796,5345
755156,-43,-648,21438,5331
757976,-43,-648,21438,5347
760800,371,62,21473,5344
763604,371,62,21723,5348
766404,573,210,21723,5342
769244,573,372,21213,5341
772080,-161,372,21213,5339
774928,-347,565,21165,5344
777776,-347,565,21165,5349
780624,-164,561,21674,5347
783472,-164,561,21674,5337
786324,135,582,21668,5336
789164,135,582,21668,5343
792000,31,927,21288,5339
794792,31,927,21288,5349
797588,9,1114,21285,5338
800388,9,1114,21285,5331
803188,6,905,21322,5328
805956,6,905,21322,5332
808716,62,645,21343,5341
811516,62,645,21343,5356
814316,361,22,21877,5337
817116,361,22,21877,5342
819924,287,-746,21972,5337
822776,287,-746,21972,5350
825624,-312,-472,21910,5333
828492,-312,-472,21910,5341
831360,-709,445,21889,5341
834208,-709,445,21996,5333
837056,26,617,21996,5336
839852,26,927,21968,5339
842644,186,927,21968,5339
845476,186,1820,21938,5331
848352,37,1820,21938,5343
851184,-162,1340,22007,5339
854076,-162,1340,22007,5326
856964,-184,-871,21652,5336
859836,-184,-871,21652,5342
862704,-386,-1304,21927,5332
865612,-386,-1304,21927,5344
868516,-95,-452,21861,5338
871340,-95,-452,21861,5339
874160,570,-178,21223,5341
877012,570,-178,21223,5339
879864,312,383,21170,5343
882696,312,383,21170,5336
885532,-299,850,21282,5334
888380,-299,850,20770,5330
891232,-445,307,20984,5334
894088,-445,-205,20812,5337
896948,48,-175,20812,5332
899756,-208,611,21020,5337
902612,-146,611,21020,5328
905452,-360,1368,20920,5338
908356,-360,1368,20920,5328
911244,381,781,20559,5323
914080,381,781,20559,5315
916912,66,-259,20286,5327
919716,66,-259,20286,5347
922528,-17,-339,20416,5331
925352,-17,-339,20416,5325
928176,-289,-185,20327,5334
931040,-289,-185,20327,5328
933904,117,-12,20398,5317
936716,117,-12,20398,5341
939536,70,33,20592,5330
942292,70,33,20592,5343
945044,-118,352,20462,5326
947896,-118,352,20462,5331
950752,-30,589,20465,5325
953564,-30,589,20721,5330
956380,-32,462,20692,5347
959192,-32,462,20650,5310
962004,-378,280,20650,5344
964852,-378,529,20495,5343
967692,-510,529,20495,5342
970544,292,452,20717,5321
973380,292,452,20717,5332
976216,301,-364,20744,5337
979064,301,-364,20744,5339
981912,205,-256,20504,5343
984760,205,-256,20504,5339
987608,-103,586,20568,5342
990456,-103,586,20568,5325
993304,206,544,21154,5331
996136,206,544,21154,5345
998968,-90,40,21454,5333
1001736,-90,40,21454,5325
1004548,-145,125,21509,5333
1007440,-145,125,21509,5327
1010328,107,426,22233,5326
1013204,107,426,22233,5343
1016068,-485,286,22413,5349
1018964,-485,30,22182,5341
1021820,-560,64,22182,5352
1024672,208,716,22392,5336
1027544,9,716,22392,5337
1030340,512,544,22471,5343
1033216,512,544,22471,5341
1036088,270,448,22354,5349
1038960,270,448,22354,5336
1041836,183,1030,22530,5336
1044756,183,1030,22530,5347
1047668,-8,983,23011,5342
1050484,-8,983,23011,5352
1053296,-246,245,23184,5339
1056184,-246,245,23184,5341
1059072,-87,500,23370,5334
1061920,-87,500,23370,5331
1064776,39,-1,23948,5343
1067548,39,-1,23948,5342
1070320,-413,-695,23776,5353
1073224,-413,-695,23553,5343
1076128,-189,-183,23553,5333
1079044,-215,930,23380,5337
1081936,-215,930,23380,5328
1084828,344,823,23094,5333
1087700,344,823,23094,5336
1090572,481,770,23392,5342
1093456,481,770,23392,5341
1096328,208,864,23784,5338
1099196,208,864,23784,5343
1102076,-194,329,23297,5334
1104972,-194,329,23297,5342
1107860,-219,310,23257,5337
1110760,-219,310,23257,5342
1113648,13,810,23794,5334
1116484,13,810,23794,5328
1119316,252,328,23775,5350
1122192,252,-440,23775,5321
1125076,-78,-301,23775,5333
1127948,-598,-630,23987,5349
1130856,-598,-630,23987,5347
1133764,-776,-619,23264,5334
1136672,-776,-619,23264,5333
1139584,421,146,22867,5345
1142456,421,146,22867,5344
1145328,777,990,23321,5332
1148208,777,990,23321,5338
1151080,815,576,23442,5331
1153952,815,576,23442,5341
1156832,-236,81,23508,5317
1159680,-236,81,23508,5343
1162532,-776,441,23884,5343
1165424,-776,441,23796,5344
1168312,82,799,23796,5344
1171144,82,1024,23631,5347
1174016,718,1024,23631,5319
1176936,201,608,24000,5348
1179816,201,608,24000,5347
1182684,-908,-577,24360,5336
1185600,-908,-577,24360,5348
1188508,-744,-1174,24767,5350
1191456,-744,-1174,24767,5349
1194396,-148,-458,24863,5349
1197300,-148,-458,24863,5338
1200212,418,-40,24792,5348
1203064,418,-40,24792,5353
1205912,47,873,24920,5355
1208740,47,873,24920,5336
1211580,-105,886,25367,5336
1214472,-105,374,25418,5350
1217360,172,358,25418,5345
1220236,651,974,25669,5338
1223124,651,974,25669,5355
1225988,-162,1103,25908,5352
1228916,-162,1103,25908,5352
1231852,-891,713,25876,5350
1234748,-891,713,25876,5344
1237628,-210,-451,26448,5342
1240536,-210,-451,26448,5353
1243436,-38,-845,26346,5345
1246292,-38,-845,26346,5356
1249160,111,-547,26084,5350
1252048,111,-547,26084,5343
1254940,-420,445,26134,5342
1257832,-420,445,25696,5345
1260716,253,880,25696,5339
1263592,1021,951,25564,5320
1266508,818,951,25564,5330
1269380,91,828,25440,5352
1272216,91,828,25440,5348
1275048,-659,434,25098,5353
1277936,-659,434,25098,5354
1280832,-513,693,25154,5352
1283728,-513,693,25154,5350
1286616,128,385,24797,5349
1289492,128,385,24797,5353
1292372,787,-366,24311,5358
1295264,787,-366,24311,5342
1298160,489,-633,24391,5356
1301048,489,-633,24391,5354
1303936,-922,-518,24079,5336
1306852,-922,-6,24082,5345
1309680,-477,-2,24082,5338
1312508,547,746,23884,5342
1315384,710,746,23884,5344
1318260,264,1036,22960,5338
1321172,264,1036,22960,5356
1324092,21,931,23125,5350
1326924,21,931,23125,5343
1329756,-608,483,23149,5336
1332652,-608,483,23149,5338
1335544,344,143,22511,5337
1338420,344,143,22511,5337
1341296,388,692,22490,5342
1344168,388,692,22490,5328
1347036,160,740,22627,5338
1349908,160,740,22627,5343
1352788,-635,319,22384,5316
1355680,-635,-449,22587,5327
1358588,203,-426,22587,5326
1361476,-214,-948,22644,5332
1364384,-214,-948,22644,5342
1367284,-231,-293,21922,5343
1370196,-231,-293,21922,5322
1373092,85,1137,21756,5341
1375968,85,1137,21756,5339
1378848,22,1273,21816,5342
1381720,22,1273,21816,5336
1384592,-18,451,22258,5321
1387440,-18,451,22258,5323
1390296,132,-367,23036,5347
1393184,132,-367,23036,5332
1396072,-114,-118,22644,5338
1398972,-114,-118,22389,5350
1401868,140,846,22389,5352
1404744,140,1629,22995,5347
1407652,-249,1629,22995,5337
1410580,-344,516,23506,5341
1413468,-344,516,23506,5339
1416356,93,-1400,23533,5333
1419244,93,-1400,23533,5343
1422132,-348,-761,23547,5342
1425040,-348,-761,23547,5334
1427944,-638,1208,22718,5341
1430872,-638,1208,22718,5330
1433804,-143,1872,22483,5338
1436736,-143,1872,22483,5327
1439660,297,1151,23329,5326
1442580,297,-129,23749,5343
1445468,499,-222,23749,5331
1448368,67,-728,23823,5344
1451216,67,-728,23823,5347
1454064,-876,-294,24362,5334
1456964,-876,-294,24362,5344
1459868,93,86,24825,5345
1462664,93,86,24825,5338
1465460,521,636,24199,5333
1468348,521,636,24199,5338
1471224,284,674,23675,5341
1474096,284,674,23675,5339
1476972,-611,-237,23116,5344
1479880,-611,-237,23116,5317
1482784,-400,-619,22820,5334
1485692,-400,-619,22820,5342
1488596,-72,337,22475,5342
1491448,-72,593,21825,5331
1494296,230,745,21825,5336
1497172,486,615,21419,5336
1500048,286,615,21419,5403
1502924,-181,43,21400,5452
1505784,-181,43,21400,5465
1508632,-639,-472,20759,5460
1511540,-639,-472,20759,5463
1514452,-167,30,17408,5461
1517312,-167,30,17408,5463
1520160,199,819,11955,5459
1523032,199,819,11955,5463
1525904,134,444,6724,5466
1528736,134,444,6724,5466
1531568,124,53,2839,5470
1534364,124,53,2839,5461
1537164,100,159,614,5464
1539964,100,159,614,5459
1542760,65,-270,-711,5460
1545548,65,-270,-711,5470
1548344,97,-116,-726,5466
1551128,97,-116,-576,5470
1553920,231,247,-576,5470
1556724,231,40,-369,5470
1559492,151,40,-369,5470
1562264,151,-79,320,5464
1565032,65,-79,320,5461
1567764,65,309,429,5472
1570524,109,309,429,5463
1573324,160,535,106,5468
1576116,160,535,106,5468
1578908,198,493,279,5474
1581700,198,493,279,5466
1584500,117,233,405,5469
1587296,117,233,405,5470
1590088,85,-64,-71,5466
1592796,85,-64,-71,5469
1595508,63,15,50,5466
1598192,63,15,50,5471
1600868,82,74,300,5460
1603588,82,74,300,5471
1606312,155,382,168,5471
1609108,155,382,168,5465
1611904,168,392,167,5464
1614700,168,392,167,5464
1617496,130,182,274,5469
1620292,130,182,274,5459
1623096,109,129,142,5475
1625892,109,129,142,5469
1628688,100,76,134,5460
1631440,100,76,134,5475
1634188,119,124,270,5461
1636988,119,124,270,5469
1639784,119,243,227,5466
1642580,119,243,227,5466
1645376,157,275,173,5466
1648176,157,275,173,5469
1650972,159,219,217,5468
1653768,159,219,217,5471
1656564,131,149,193,5461
1659360,131,149,193,5466
1662152,117,152,170,5463
1664940,117,152,170,5475
1667736,132,199,216,5468
1670536,132,199,180,5469
1673328,135,236,180,5455
1676120,135,236,143,5476
1678912,147,236,143,5468
1681704,147,158,132,5461
1684500,130,158,132,5465
1687292,133,163,164,5471
1690088,133,163,164,5468
1692880,129,198,120,5481
1695664,129,198,120,5474
1698468,132,230,129,5465
1701264,132,230,129,5461
1704056,128,219,164,5470
1706856,128,219,164,5471
1709652,109,164,168,5470
1712448,109,164,168,5469
1715248,122,148,158,5476
1718040,122,148,158,5463
1720840,145,165,154,5476
1723628,145,165,154,5455
1726424,159,211,157,5463
1729216,159,211,157,5463
1732008,163,212,164,5474
1734800,163,212,164,5468
1737600,121,176,173,5463
1740392,121,176,173,5475
1743184,119,131,139,5460
1745984,119,131,139,5463
1748776,132,131,138,5474
1751572,132,131,138,5470
1754372,123,167,151,5469
1757164,123,167,151,5474
1759960,141,222,148,5468
1762752,141,222,148,5468
1765556,122,246,178,5476
1768348,122,246,156,5468
1771152,116,231,156,5472
1773944,116,170,178,5464
1776732,125,170,178,5465
1779536,125,154,198,5472
1782328,136,154,198,5474
1785120,130,201,190,5464
1787912,130,201,190,5466
1790712,137,212,149,5468
1793508,137,212,149,5470
1796308,127,179,141,5460
1799100,127,179,141,5474
1801896,95,179,148,5463
1804660,95,179,148,5459
1807424,105,178,179,5455
1810216,105,178,179,5477
1813008,130,195,119,5465
1815800,130,195,119,5472
1818592,116,226,123,5475
1821384,116,226,123,5471
1824180,123,192,151,5468
1826972,123,192,151,5475
1829768,102,187,131,5472
1832560,102,187,131,5470
1835352,142,199,132,5474
1838152,142,199,132,5470
1840944,146,192,140,5477
1843732,146,192,140,5480
1846536,139,195,163,5470
1849328,139,195,163,5472
1852120,129,214,113,5474
1854912,129,214,113,5474
1857708,138,203,156,5475
1860488,138,203,156,5469
1863280,135,204,142,5479
1866076,135,204,153,5461
1868880,138,192,153,5475
1871676,138,205,148,5476
1874484,121,205,148,5479
1877280,121,217,147,5474
1880072,120,217,147,5476
1882872,101,197,185,5474
1885668,101,197,185,5474
1888464,116,192,171,5465
1891248,116,192,171,5475
1894052,132,208,142,5469
1896856,132,208,142,5470
1899652,120,198,184,5471
